Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Low Power PCB Designs\FitC_Project\Project Outputs for FitC_Project\Pick Place for FitC_Layout.csv

========================================================================================================================
File Design Information:

Date:       30/10/22
Time:       15:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C35","1uF 50V X7R","TopLayer","CAP_0603_1MM","1047.244","3726.378","90","0603 1uF Multilayer Ceramic Capacitors 0603 50V X7R 105 10% TOL"
"C34","1uF","TopLayer","CAP_0603_1MM","981.299","3726.378","90","0603 1uF Multilayer Ceramic Capacitors 0603 50V X7R 105 10% TOL"
"FB3","100MHz 200mA","TopLayer","RES_0603_1608X06","1609.252","2955.709","90","Ferrite Beads WE-CBF 0603 SMD Bead 100MHz 1000Ohm 200mA"
"R2","0R","TopLayer","RES_0603_1608X06","1659.449","2955.709","270","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
"U1","EFR32BG13P732F512GM48-DR","TopLayer","EFR32BG13_48_QFN","2018.701","2969.488","180","Blue Gecko QFN48 2.4 G 19 dB BLE/Proprietary 512 kB 64 kB(RAM) 31GPIO"
"J10","J_4_PIN_HEADER","TopLayer","4_PIN_100MIL","648.000","1984.000","270","4 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"SW3","Switch","TopLayer","SWITCH","2610.000","2710.000","90","Switch Tactile SPST-NO Button Gull Wing 50mA 12VDC 100000Cycle 180gf Surface Mount T/R"
"SW1","Switch","TopLayer","SWITCH","2747.677","3121.417","270","Switch Tactile SPST-NO Button Gull Wing 50mA 12VDC 100000Cycle 180gf Surface Mount T/R"
"SW4","Switch","TopLayer","SWITCH","1785.439","1927.274","0","Switch Tactile SPST-NO Button Gull Wing 50mA 12VDC 100000Cycle 180gf Surface Mount T/R"
"C25","0.1uF 50V","TopLayer","CAP_0603_1MM","926.268","494.000","90","Cap Ceramic 0.1uF 50V X7R 10% Pad SMD 0603 Flexible Termination 125C Automotive Medical Bag"
"C20","4.7uF, 0805","TopLayer","CAP_0805_2012X14","400.000","2990.000","270","0805 4.7 uF 25 V ±10% Tolerance X5R SMT Multilayer Ceramic Capacitor"
"D3","SMBJ5.0A","TopLayer","TVS_DIODE","177.953","3520.000","0","Diode TVS Single Uni-Dir 5V 600W 2-Pin SMBJ"
"J3","J_2_PIN_HEADER","TopLayer","2_PIN_100MIL","1004.000","2542.000","90","2 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"X2","32.768kHz","TopLayer","XTAL_ECS-.327-7-34B-TR","1760.000","2820.000","90","32.768kHz Â±20ppm Crystal 7pF 70 kOhms 2-SMD, No Lead"
"X1","38.4MHz","TopLayer","OSC_38.4MHz","2300.000","3070.000","180","Crystal 38.4000MHZ 10PF SMD"
"U6","TPS2114APWR","TopLayer","TPS2114APWR","735.000","2430.000","180","2.8-V to 5.5-V, 120-mO, 0.75-A, power mux with manual, automatic switchover and status outp"
"U5","BQ25570 - Nano Boost Charger and Buck Converter","TopLayer","BQ25570_QFN","480.000","3190.000","90","Switching Battery Charger Li-Ion/Li-Pol/Supercapacitor 110mA 2.2V to 5.5V 20-Pin VQFN EP T/R"
"U4","SAM-M8Q","TopLayer","SAM-M8","916.268","883.370","90","Rf Rx Galileo 1.575GHZ/1.602GHZ"
"U3","SHTC3-TR-2.5KS","TopLayer","SHTC3_SON","994.726","1878.173","0","Relative Humidity & Temperature Sensor, consumer focus"
"U2","BNO055","TopLayer","BNO055_LGA","1655.439","2107.274","0","BNO055 Series 1.7 to 3.6 V Intelligent 9-Axis Absolute Orientation Sensor-LGA-28"
"SW2","Switch","TopLayer","SWITCH","326.268","1373.370","180","Switch Tactile SPST-NO Button Gull Wing 50mA 12VDC 100000Cycle 180gf Surface Mount T/R"
"R33","0R","TopLayer","RES_0603_1608X06","1825.000","2169.000","0","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
"R32","0R","TopLayer","RES_0603_1608X06","1745.439","2237.274","0","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
"R31","0R","TopLayer","RES_0603_1608X06","1114.726","1888.173","270","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
"R30","0R","TopLayer","RES_0603_1608X06","894.726","1888.173","270","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
"R29","0R","TopLayer","RES_0603_1608X06","590.000","2600.000","90","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
"R28","10K","TopLayer","RES_0603_1608X06","1995.439","1927.274","0","Res Thin Film 0603 10K Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R"
"R27","10K","TopLayer","RES_0603_1608X06","606.268","1503.370","0","Res Thin Film 0603 10K Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R"
"R26","3K3 1%","TopLayer","RES_0603_1608X06","2431.496","2790.000","0","Res Thick Film 0603 3.3K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R25","10K","TopLayer","RES_0603_1608X06","2730.000","2760.000","270","Res Thin Film 0603 10K Ohm 1% 1/8W ±100ppm/°C Molded SMD SMD Paper T/R"
"R24","3K3 1%","TopLayer","RES_0603_1608X06","2708.504","2910.000","0","Res Thick Film 0603 3.3K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R23","402Ohms 1%","TopLayer","RES_0603_1608X06","890.000","2558.504","270","Res Thin Film 0603 402 Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Paper T/R"
"R22","4.7M 1%","TopLayer","RES_0603_1608X06","858.504","3220.000","180","Res Thick Film 0603 4.7M Ohm 5% 1/10W ±200ppm/°C Molded SMD SMD Paper T/R"
"R21","0R","TopLayer","RES_0603_1608X06","760.000","2560.000","90","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
"R20","4.99M 1%","TopLayer","RES_0603_1608X06","998.000","3254.000","180","Res Thick Film 0603 4.99M Ohm 1% 1/10W ±200ppm/°C Molded SMD SMD Paper T/R"
"R19","8.87M 1%","TopLayer","RES_0603_1608X06","858.504","3140.000","0","Res Thick Film 0603 8.87M Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
"R18","5.62M 1%","TopLayer","RES_0603_1608X06","1008.504","2970.000","180","Res Thick Film 0603 5.62M Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
"R17","0R","TopLayer","RES_0603_1608X06","99.000","2359.504","270","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
"R16","3K3 1%","TopLayer","RES_0603_1608X06","830.000","2560.000","90","Res Thick Film 0603 3.3K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R15","8.87M 1%","TopLayer","RES_0603_1608X06","859.000","3272.000","180","Res Thick Film 0603 8.87M Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
"R14","3K3 1%","TopLayer","RES_0603_1608X06","1050.000","2690.000","180","Res Thick Film 0603 3.3K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R13","1.24M 1%","TopLayer","RES_0603_1608X06","858.504","3050.000","180","Res Thick Film 0603 1.24M Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
"R12","7.32M 1%","TopLayer","RES_0603_1608X06","858.504","2970.000","180","Res Thick Film 0603 7.32M Ohm 1% 1/10W ±200ppm/°C Molded SMD SMD Paper T/R"
"R11","0R","TopLayer","RES_0603_1608X06","360.000","2171.496","90","Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"
